Ghost Machine,18757080,104206,262,45,29
Melos X David Bowie X Camels,18669257,3579,570,"25,000","3,408"
Solamanders,18652874,0,96,71,53
SolSnatchers,18652874,0,92,39,35
Solana Mystery Box,18548668,0,533,72,58
Jimmy Choo Mystery Box,18541606,7158,420,"8,888",0
Hash && Dash,18444462,0,188,35,25
Hypercube Series,18444462,312618,59,29,5
Drippy Penguins,18340256,0,"1,308",205,139
Verse of Death,18027638,0,106,38,28
GreedyPigz,17819226,208412,187,8,8
MBBs,17819226,00,74,0,0
12 Tribes,17715020,0,18,7,0
The Tower,17506608,0,42,16,14
DaffyPandaGangingUp,17503696,283934,48,546,105
PRIMAL,17506608,104206,110,51,8
NARAKA HERO,17398712,3579,616,"36,360","3,385"
Prometheus-GodNFT,17323553,143160,79,"2,242",125
Akuma no Neko,17193990,0,134,0,0
Danerob,17193990,0,161,39,27
Galaxity,16985578,0,36,0,0
Barber Heart,16881372,833648,20,6,1
Multiverse Llama,16777166,0,448,184,107
Jose_Delbo,16772387,36983,224,"4,121","1,129"
The Millennials,16672960,0,202,86,58
Rare Robots,16568754,0,68,65,29
Ancient Soluments,16360342,104206,76,77,17
DNAxCAT,16321433,164634,62,"1,018",219
Whales Nation,16360342,0,210,68,47
Mutant Corgi,16266555,149125,95,300,237
Teddy Bears Club,16047724,0,100,4,4
Ape Fam Passes,15943518,0,"1,280",130,76
Folktales of Lunaria,15735106,0,224,54,44
Flashy Flamingos,15735106,0,469,210,140
Cops Game,15630900,0,136,40,23
Foo Dogz,15630900,0,360,64,26
Solworms,15526694,0,916,413,273
SOVANA,15526694,416824,30,6,6
Vivaion Metaverse,15214076,104206,23,39,10
Hal?sz?r,15214076,312618,192,5,5
Royal Lion Party Club,15005664,0,86,1,0
Surf Bums - Genesis,15005664,0,16,0,0
Soltato,14901458,104206,78,23,9
Dappie Gang,14693046,208412,52,2,1
Solpass,14588840,0,78,27,24
JOJO FUN NFT,14573688,5965,304,"18,100","1,122"
Crypto Carz,14484634,0,"1,479",878,221
Shredded Apes: Gym Club,14484634,521030,74,6,6
RowdyRex,14276222,0,116,21,17
Mines of Dalarnia,14281403,954400,7,103,61
Tsar on Ice: Plushenko,14258736,3579,608,"10,000",483
KORNEY,14123927,266039,42,"1,013",173
Goofy Dracula,14172016,0,222,142,47
KHL Mystery Box,14100067,1193,"1,014","20,000","3,369"
SolDoge Strays,13859398,0,269,266,122
Culture Of Women,13859398,0,178,104,47
Rogue Pandas,13546780,0,238,53,42
Fara Binancian,13179071,9544,241,"10,081","1,335"
Kingdom of Dwarves: Whitelist,13129956,521030,90,2,2
ApolloX Rockets 2021,13060964,888785,27,"2,730",17
WipeMyAss,13025750,0,526,88,54
Social Donkeys,12921544,0,115,55,36
Moshed Ape Club,12817338,104206,109,24,10
Ape Gang,12648186,966330,6,0,11
Fantasy Beach Club,12608926,0,"1,113",168,110
CryptoBills,12608926,0,97,24,10
Sol Kitties,12608926,0,118,21,18
DRAKA,12522921,288706,44,"1,013",125
Attack Tigers,12400514,208412,70,3,3
Heavens Sevens Lotto,12296308,0,54,0,0
Broken Robot Burger Bar,12296308,0,118,30,25
Phanbots,11983690,0,289,125,75
Genopets Eggs,11983690,0,16,0,0
Malibu Dolphin Mixer,11983690,0,136,18,16
Spirit Land,11856034,21474,264,"10,000",218
Moolah Monkey Club,11775278,0,50,104,48
Funky Punks V2,11671072,0,448,411,203
Learn2Ape Meerkatsu,11671072,625236,22,12,5
PixelBands,11566866,208412,66,2,2
SOLSY The Whale,11566866,0,226,54,27
GameAce,11417010,39369,49,"2,475",31
Sea Rovers,11358454,0,181,26,19
Dynamic Shields,11358454,0,"1,520",469,269
Sol Millionaire Club,11358454,312618,46,10,7
Cyborg Apes,11254248,0,32,0,0
VIP Christmas NFT,11159322,59650,88,"10,777","8,632"
CryptoCards,11045836,0,352,151,16
Point Of Departure,10941630,104206,180,11,9
Terrestrial T-Rex Club,10837424,0,328,58,37
Cubist Animals,10837424,0,166,26,13
Sol Unicorns 3D,10837424,0,155,58,38
The 50's Kid,10629012,0,140,290,19
GEMSkulls,10524806,0,259,62,36
Catalysts,10420600,104206,94,1,1
Danger Valley Ducks,10420600,416824,58,4,4
Numismatic NFT's,10420600,1146266,20,36,1
DeFiHoodNFT,10316394,0,187,68,37
Brave Cat,10256221,101405,59,"104,491",22
Lunar New Year With Binance,10194185,10737,409,"1,800",513
Kiddo Monkeys,10107982,0,248,83,64
Soul Dogs,10107982,208412,70,7,7
